timestamp,protocol,N,f,B,K,replica,host,time_sec,txs_delivered
2026-06-08 00:38:13,honeybadger,16,5,250,1,3,116.62.240.167,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,4,121.43.234.253,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,5,121.199.72.252,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,6,121.40.130.83,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,7,121.40.94.52,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,8,120.26.46.218,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,9,120.55.86.74,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,10,121.40.255.201,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,11,121.43.148.183,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,12,121.40.158.250,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,13,121.40.117.123,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,14,121.40.88.101,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,15,121.40.118.7,,
2026-06-08 00:39:23,honeybadger,16,5,500,1,0,120.27.215.50,10.949864,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,1,116.62.149.8,10.933876,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,2,47.98.121.97,10.932133,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,3,116.62.240.167,10.968982,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,4,121.43.234.253,11.250243,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,5,121.199.72.252,11.209009,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,6,121.40.130.83,11.237258,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,7,121.40.94.52,11.174733,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,8,120.26.46.218,11.248284,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,9,120.55.86.74,11.444193,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,10,121.40.255.201,11.428042,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,11,121.43.148.183,11.380071,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,12,121.40.158.250,11.442143,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,13,121.40.117.123,11.157605,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,14,121.40.88.101,11.242007,496
2026-06-08 00:39:23,honeybadger,16,5,500,1,15,121.40.118.7,11.251568,496
2026-06-08 00:55:14,honeybadger,16,5,750,1,0,120.27.215.50,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,1,116.62.149.8,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,2,47.98.121.97,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,3,116.62.240.167,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,4,121.43.234.253,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,5,121.199.72.252,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,6,121.40.130.83,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,7,121.40.94.52,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,8,120.26.46.218,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,9,120.55.86.74,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,10,121.40.255.201,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,11,121.43.148.183,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,12,121.40.158.250,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,13,121.40.117.123,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,14,121.40.88.101,,
2026-06-08 00:55:14,honeybadger,16,5,750,1,15,121.40.118.7,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,0,120.27.215.50,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,1,116.62.149.8,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,2,47.98.121.97,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,3,116.62.240.167,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,4,121.43.234.253,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,5,121.199.72.252,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,6,121.40.130.83,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,7,121.40.94.52,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,8,120.26.46.218,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,9,120.55.86.74,,
